X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    TOTAL_RATE   LORRENZ_RATE    WINDING_RATE    ALIGNED_RATE    DISTANCE
2022     72       3      5        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     10        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     15        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     20        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     25        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     30        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     35        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     40        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     45        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     50        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       3     55        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4      0        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4      5        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     10        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     15        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     20        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     25        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     30        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     35        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     40        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     45        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     50        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       4     55        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5      0        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5      5        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     10        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     15        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     20        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     25        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     30        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     35        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     40        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     45        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     50        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       5     55        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6      0        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6      5        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     10        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     15        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     20        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     25        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     30        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     35        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     40        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     45        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     50        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       6     55        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7      0        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7      5        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     10        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     15        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     20        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     25        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     30        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     35        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     40        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     45        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     50        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       7     55        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8      0        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8      5        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     10        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     15        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     20        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     25        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     30        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     35        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     40        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     45        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     50        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       8     55        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       9      0        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       9      5        0.0000        0.0000        0.0000        0.0000    13.416
2022     72       9     10        0.0000        0.0000        0.0000        0.0000    13.416
